Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
1,0.056,2.1,@ajaremko,5456,"Wed, 12 Feb 2020 01:23:46 GMT",,100,1,user_mentions
7,0.056,0.8,@wendelbrasilsp,541,"Wed, 12 Feb 2020 03:54:49 GMT",,700,7,user_mentions
2,0.056,1.4,"https://politica.estadao.com.br/noticias/eleicoes,camping-digital-do-pt-treina-seus-militantes-imp-,1155922.amp",6311,"Wed, 12 Feb 2020 03:37:38 GMT",,200,2,urls
2,0.055,1.4,https://twitter.com/aisha_com_vida/status/1227437300503785472/photo/1,8540,"Wed, 12 Feb 2020 03:50:05 GMT",http://pbs.twimg.com/tweet_video_thumb/EQi7tpyWsAAKb96.jpg,200,2,media
4,0.055,0.9,@rhangelribeiro,7952,"Wed, 12 Feb 2020 03:47:53 GMT",http://pbs.twimg.com/media/EQi9ZkyWoAA9IUz.jpg,400,4,user_mentions
1,0.055,2.1,@sampafalke,17798,"Wed, 12 Feb 2020 02:02:40 GMT",,100,1,user_mentions
17,0.055,1.0,@tainalon,604,"Wed, 12 Feb 2020 03:55:08 GMT",,53,22,user_mentions
1,0.055,2.0,https://twitter.com/pharaujo85/status/1227331280813072384?s=19,9111,"Wed, 12 Feb 2020 01:38:55 GMT",,100,1,urls
1,0.055,2.0,@deborabpaim,9109,"Wed, 12 Feb 2020 01:38:55 GMT",,100,1,user_mentions
34,0.054,0.6,@angelocoronel_,29,"Wed, 12 Feb 2020 03:56:16 GMT",,7400,74,user_mentions
5,0.054,0.8,@smith_hays3,2003,"Wed, 12 Feb 2020 03:55:26 GMT",,500,5,user_mentions
9,0.054,0.7,@dimacgarcia,1201,"Wed, 12 Feb 2020 03:50:54 GMT",,366,13,user_mentions
17,0.053,0.6,@pedrodoria,1188,"Wed, 12 Feb 2020 03:55:16 GMT",,2800,28,user_mentions
34,0.052,0.6,@hbrumjunior,23,"Wed, 12 Feb 2020 03:56:16 GMT",,7900,79,user_mentions
1,0.052,2.0,@alessavid,6667,"Wed, 12 Feb 2020 03:05:50 GMT",,100,1,user_mentions
1,0.052,2.0,@indignobrasil,14501,"Wed, 12 Feb 2020 03:05:42 GMT",,100,1,user_mentions
1,0.052,2.0,@resper13,1177,"Wed, 12 Feb 2020 03:10:23 GMT",,100,1,user_mentions
2,0.051,1.3,https://twitter.com/erickbarros19/status/1227439740280090630/photo/1,14990,"Wed, 12 Feb 2020 03:51:01 GMT",http://pbs.twimg.com/media/EQi98BoWkAEnHdj.jpg,200,2,media
1,0.051,2.0,@rosemovio,5027,"Wed, 12 Feb 2020 02:07:14 GMT",,100,1,user_mentions
1,0.051,1.9,@ronefredson,4111,"Wed, 12 Feb 2020 03:32:43 GMT",,100,1,user_mentions
79,0.050,0.6,@henriolliveira,553,"Wed, 12 Feb 2020 03:55:43 GMT",,5133,156,user_mentions
7,0.049,0.6,@nsportore,951,"Wed, 12 Feb 2020 03:54:40 GMT",,2100,21,user_mentions
7,0.049,0.6,@ktiapeixoto2,950,"Wed, 12 Feb 2020 03:54:40 GMT",,2100,21,user_mentions
18,0.049,0.8,@angelaboldrini,103,"Wed, 12 Feb 2020 03:55:47 GMT",,120,21,user_mentions
2,0.049,1.3,https://twitter.com/mando31394143/status/1227437693229043712/video/1,9702,"Wed, 12 Feb 2020 03:54:44 GMT",http://pbs.twimg.com/ext_tw_video_thumb/1227437634546544642/pu/img/reJ3giByZj4kAmTK.jpg,200,2,media
2,0.049,1.3,https://twitter.com/afericao/status/1227437054944055298/photo/1,7974,"Wed, 12 Feb 2020 03:40:08 GMT",http://pbs.twimg.com/media/EQi7fqKW4AITi7u.jpg,200,2,media
1,0.048,1.8,@alemondelli,903,"Wed, 12 Feb 2020 02:06:06 GMT",http://pbs.twimg.com/media/EQimGaeWkAA80Oe.jpg,100,1,user_mentions
1,0.048,1.8,https://twitter.com/alemondelli/status/1227413539591245830/photo/1,906,"Wed, 12 Feb 2020 02:06:06 GMT",http://pbs.twimg.com/media/EQimGaeWkAA80Oe.jpg,100,1,media
1,0.048,1.8,@luiza80674737,3939,"Wed, 12 Feb 2020 03:09:01 GMT",,100,1,user_mentions
1,0.048,1.8,@annaapark,11011,"Wed, 12 Feb 2020 03:47:08 GMT",,100,1,user_mentions
5,0.048,0.8,https://twitter.com/carlos_renatosa/status/1227345250131292162/video/1,1160,"Wed, 12 Feb 2020 03:52:24 GMT",http://pbs.twimg.com/ext_tw_video_thumb/1227345227054288897/pu/img/HolGEx8dIyONdd0Q.jpg,100,9,media
3,0.048,0.9,@diulza,6016,"Wed, 12 Feb 2020 03:54:29 GMT",,400,4,user_mentions
